[21:42:22] Loaded init checkpoint from runs/il_gpu/il_final.pt
[21:43:43] upd 47/200 | 1.70s | steps=32768 | loss=0.0074 pi=-0.0063 v=0.0019 ent=3.1708 | frontier=on
[21:43:45] upd 48/200 | 1.71s | steps=32768 | loss=0.0066 pi=-0.0070 v=0.0018 ent=3.1861 | frontier=on
[21:43:47] upd 49/200 | 1.70s | steps=32768 | loss=0.0086 pi=-0.0051 v=0.0021 ent=3.1841 | frontier=on
[21:43:49] upd 50/200 | 1.70s | steps=32768 | loss=0.0073 pi=-0.0063 v=0.0018 ent=3.1851 | frontier=on
[21:43:50] upd 51/200 | 1.71s | steps=32768 | loss=0.0089 pi=-0.0047 v=0.0017 ent=3.2166 | frontier=on
[21:43:52] upd 52/200 | 1.71s | steps=32768 | loss=0.0093 pi=-0.0034 v=0.0022 ent=3.2119 | frontier=on
[21:43:54] upd 53/200 | 1.70s | steps=32768 | loss=0.0060 pi=-0.0068 v=0.0015 ent=3.2075 | frontier=on
[21:43:55] upd 54/200 | 1.71s | steps=32768 | loss=0.0068 pi=-0.0048 v=0.0015 ent=3.1921 | frontier=on
[21:43:57] upd 55/200 | 1.70s | steps=32768 | loss=0.0089 pi=-0.0037 v=0.0012 ent=3.2455 | frontier=on
[21:43:59] upd 56/200 | 1.70s | steps=32768 | loss=0.0083 pi=-0.0033 v=0.0013 ent=3.2311 | frontier=on
[21:44:01] upd 57/200 | 1.71s | steps=32768 | loss=0.0075 pi=-0.0040 v=0.0013 ent=3.2010 | frontier=on
[21:44:02] upd 58/200 | 1.71s | steps=32768 | loss=0.0119 pi=-0.0005 v=0.0021 ent=3.2191 | frontier=on
[21:44:04] upd 59/200 | 1.71s | steps=32768 | loss=0.0118 pi=-0.0006 v=0.0021 ent=3.2486 | frontier=on
[21:44:06] upd 60/200 | 1.70s | steps=32768 | loss=0.0130 pi=0.0008 v=0.0023 ent=3.2333 | frontier=on
[21:44:07] upd 61/200 | 1.71s | steps=32768 | loss=0.0105 pi=-0.0012 v=0.0020 ent=3.1893 | frontier=on
[21:44:09] upd 62/200 | 1.71s | steps=32768 | loss=0.0102 pi=-0.0017 v=0.0018 ent=3.2175 | frontier=on
[21:44:11] upd 63/200 | 1.71s | steps=32768 | loss=0.0109 pi=-0.0003 v=0.0020 ent=3.1830 | frontier=on
[21:44:13] upd 64/200 | 1.71s | steps=32768 | loss=0.0111 pi=-0.0000 v=0.0018 ent=3.1791 | frontier=on
[21:44:14] upd 65/200 | 1.71s | steps=32768 | loss=0.0074 pi=-0.0034 v=0.0011 ent=3.2213 | frontier=on
[21:44:16] upd 66/200 | 1.71s | steps=32768 | loss=0.0120 pi=0.0007 v=0.0019 ent=3.2147 | frontier=on
[21:44:18] upd 67/200 | 1.71s | steps=32768 | loss=0.0100 pi=-0.0016 v=0.0016 ent=3.2321 | frontier=on
[21:44:19] upd 68/200 | 1.71s | steps=32768 | loss=0.0084 pi=-0.0020 v=0.0016 ent=3.1925 | frontier=on
[21:44:21] upd 69/200 | 1.71s | steps=32768 | loss=0.0096 pi=-0.0014 v=0.0018 ent=3.2221 | frontier=on
[21:44:23] upd 70/200 | 1.71s | steps=32768 | loss=0.0100 pi=-0.0008 v=0.0018 ent=3.2604 | frontier=on
[21:44:24] upd 71/200 | 1.71s | steps=32768 | loss=0.0118 pi=0.0006 v=0.0020 ent=3.2264 | frontier=on
[21:44:26] upd 72/200 | 1.72s | steps=32768 | loss=0.0089 pi=-0.0018 v=0.0019 ent=3.2118 | frontier=on
[21:44:28] upd 73/200 | 1.72s | steps=32768 | loss=0.0086 pi=-0.0021 v=0.0017 ent=3.1947 | frontier=on
[21:44:30] upd 74/200 | 1.71s | steps=32768 | loss=0.0076 pi=-0.0023 v=0.0015 ent=3.2319 | frontier=on
[21:44:31] upd 75/200 | 1.71s | steps=32768 | loss=0.0102 pi=-0.0001 v=0.0020 ent=3.2121 | frontier=on
[21:44:33] upd 76/200 | 1.71s | steps=32768 | loss=0.0060 pi=-0.0039 v=0.0014 ent=3.2474 | frontier=on
[21:44:35] upd 77/200 | 1.71s | steps=32768 | loss=0.0084 pi=-0.0013 v=0.0019 ent=3.2122 | frontier=on
[21:44:36] upd 78/200 | 1.71s | steps=32768 | loss=0.0092 pi=-0.0014 v=0.0018 ent=3.2157 | frontier=on
[21:44:38] upd 79/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0020 v=0.0019 ent=3.1929 | frontier=on
[21:44:40] upd 80/200 | 1.72s | steps=32768 | loss=0.0080 pi=-0.0019 v=0.0019 ent=3.2203 | frontier=on
[21:44:42] upd 81/200 | 1.71s | steps=32768 | loss=0.0089 pi=-0.0020 v=0.0019 ent=3.2310 | frontier=on
[21:44:43] upd 82/200 | 1.71s | steps=32768 | loss=0.0031 pi=-0.0055 v=0.0011 ent=3.2374 | frontier=on
[21:44:45] upd 83/200 | 1.71s | steps=32768 | loss=0.0092 pi=-0.0007 v=0.0020 ent=3.2548 | frontier=on
[21:44:47] upd 84/200 | 1.71s | steps=32768 | loss=0.0099 pi=-0.0002 v=0.0019 ent=3.2739 | frontier=on
[21:44:48] upd 85/200 | 1.71s | steps=32768 | loss=0.0112 pi=0.0013 v=0.0022 ent=3.2450 | frontier=on
[21:44:50] upd 86/200 | 1.71s | steps=32768 | loss=0.0122 pi=0.0017 v=0.0024 ent=3.2778 | frontier=on
[21:44:52] upd 87/200 | 1.71s | steps=32768 | loss=0.0138 pi=0.0042 v=0.0027 ent=3.2183 | frontier=on
[21:44:54] upd 88/200 | 1.71s | steps=32768 | loss=0.0095 pi=-0.0004 v=0.0015 ent=3.2856 | frontier=on
[21:44:55] upd 89/200 | 1.71s | steps=32768 | loss=0.0101 pi=0.0006 v=0.0019 ent=3.2569 | frontier=on
[21:44:57] upd 90/200 | 1.71s | steps=32768 | loss=0.0069 pi=-0.0027 v=0.0017 ent=3.2439 | frontier=on
[21:44:59] upd 91/200 | 1.71s | steps=32768 | loss=0.0062 pi=-0.0031 v=0.0014 ent=3.2422 | frontier=on
[21:45:00] upd 92/200 | 1.71s | steps=32768 | loss=0.0104 pi=0.0007 v=0.0019 ent=3.2860 | frontier=on
[21:45:02] upd 93/200 | 1.71s | steps=32768 | loss=0.0125 pi=0.0023 v=0.0024 ent=3.2784 | frontier=on
[21:45:04] upd 94/200 | 1.71s | steps=32768 | loss=0.0121 pi=0.0024 v=0.0023 ent=3.2279 | frontier=on
[21:45:06] upd 95/200 | 1.71s | steps=32768 | loss=0.0085 pi=-0.0009 v=0.0015 ent=3.2225 | frontier=on
[21:45:07] upd 96/200 | 1.71s | steps=32768 | loss=0.0108 pi=0.0005 v=0.0017 ent=3.2395 | frontier=on
[21:45:09] upd 97/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0017 v=0.0012 ent=3.2380 | frontier=on
[21:45:11] upd 98/200 | 1.72s | steps=32768 | loss=0.0086 pi=-0.0006 v=0.0014 ent=3.2325 | frontier=on
[21:45:12] upd 99/200 | 1.71s | steps=32768 | loss=0.0112 pi=0.0018 v=0.0017 ent=3.2348 | frontier=on
[21:45:14] upd 100/200 | 1.71s | steps=32768 | loss=0.0063 pi=-0.0028 v=0.0010 ent=3.2468 | frontier=on
[21:45:16] upd 101/200 | 1.72s | steps=32768 | loss=0.0084 pi=-0.0006 v=0.0016 ent=3.2286 | frontier=on
[21:45:18] upd 102/200 | 1.71s | steps=32768 | loss=0.0115 pi=0.0016 v=0.0020 ent=3.2740 | frontier=on
[21:45:19] upd 103/200 | 1.71s | steps=32768 | loss=0.0112 pi=0.0016 v=0.0021 ent=3.2487 | frontier=on
[21:45:21] upd 104/200 | 1.72s | steps=32768 | loss=0.0101 pi=0.0012 v=0.0017 ent=3.2214 | frontier=on
[21:45:23] upd 105/200 | 1.71s | steps=32768 | loss=0.0080 pi=-0.0014 v=0.0012 ent=3.2274 | frontier=on
[21:45:24] upd 106/200 | 1.71s | steps=32768 | loss=0.0088 pi=-0.0007 v=0.0014 ent=3.2342 | frontier=on
[21:45:26] upd 107/200 | 1.74s | steps=32768 | loss=0.0061 pi=-0.0026 v=0.0011 ent=3.2205 | frontier=on
[21:45:28] upd 108/200 | 1.71s | steps=32768 | loss=0.0090 pi=-0.0002 v=0.0017 ent=3.2239 | frontier=on
[21:45:30] upd 109/200 | 1.71s | steps=32768 | loss=0.0057 pi=-0.0032 v=0.0009 ent=3.2468 | frontier=on
[21:45:31] upd 110/200 | 1.71s | steps=32768 | loss=0.0105 pi=0.0004 v=0.0018 ent=3.2891 | frontier=on
[21:45:33] upd 111/200 | 1.71s | steps=32768 | loss=0.0082 pi=-0.0013 v=0.0016 ent=3.2646 | frontier=on
[21:45:35] upd 112/200 | 1.71s | steps=32768 | loss=0.0079 pi=-0.0010 v=0.0015 ent=3.2705 | frontier=on
[21:45:36] upd 113/200 | 1.71s | steps=32768 | loss=0.0097 pi=0.0003 v=0.0016 ent=3.2628 | frontier=on
[21:45:38] upd 114/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0022 v=0.0013 ent=3.3099 | frontier=on
[21:45:40] upd 115/200 | 1.71s | steps=32768 | loss=0.0073 pi=-0.0022 v=0.0014 ent=3.2895 | frontier=on
[21:45:42] upd 116/200 | 1.71s | steps=32768 | loss=0.0064 pi=-0.0026 v=0.0012 ent=3.2725 | frontier=on
[21:45:43] upd 117/200 | 1.71s | steps=32768 | loss=0.0100 pi=0.0008 v=0.0020 ent=3.2844 | frontier=on
[21:45:45] upd 118/200 | 1.71s | steps=32768 | loss=0.0103 pi=0.0009 v=0.0019 ent=3.2849 | frontier=on
[21:45:47] upd 119/200 | 1.71s | steps=32768 | loss=0.0122 pi=0.0021 v=0.0020 ent=3.2967 | frontier=on
[21:45:48] upd 120/200 | 1.71s | steps=32768 | loss=0.0089 pi=-0.0003 v=0.0019 ent=3.2649 | frontier=on
[21:45:50] upd 121/200 | 1.71s | steps=32768 | loss=0.0082 pi=-0.0014 v=0.0016 ent=3.2837 | frontier=on
