[21:31:49] upd 1/10 | 2.66s | steps=32768 | loss=0.5116 pi=0.4288 v=0.0907 ent=4.0815 | frontier=on
[21:31:51] upd 2/10 | 1.83s | steps=32768 | loss=0.3337 pi=0.2843 v=0.0484 ent=4.0479 | frontier=on
[21:31:52] upd 3/10 | 1.81s | steps=32768 | loss=0.1665 pi=0.1340 v=0.0178 ent=4.0103 | frontier=on
[21:31:54] upd 4/10 | 1.78s | steps=32768 | loss=0.0700 pi=0.0444 v=0.0077 ent=3.9531 | frontier=on
[21:31:56] upd 5/10 | 1.77s | steps=32768 | loss=0.0301 pi=0.0060 v=0.0059 ent=3.9189 | frontier=on
[21:31:58] upd 6/10 | 1.74s | steps=32768 | loss=0.0204 pi=-0.0029 v=0.0053 ent=3.8597 | frontier=on
[21:31:59] upd 7/10 | 1.72s | steps=32768 | loss=0.0031 pi=-0.0199 v=0.0045 ent=3.7631 | frontier=on
[21:32:01] upd 8/10 | 1.73s | steps=32768 | loss=0.0064 pi=-0.0170 v=0.0048 ent=3.7262 | frontier=on
[21:32:03] upd 9/10 | 1.71s | steps=32768 | loss=-0.0022 pi=-0.0255 v=0.0041 ent=3.6984 | frontier=on
[21:32:05] upd 10/10 | 1.72s | steps=32768 | loss=0.0100 pi=-0.0136 v=0.0051 ent=3.6894 | frontier=on
