update,seconds,steps,loss,policy_loss,value_loss,entropy
1,4.86409592628479,8192,0.8600530177354813,0.74423914651076,0.22008638456463814,1.3921712239583333
2,0.5798659324645996,8192,0.34387894968191784,0.30585678666830063,0.06860184607406457,1.4696451822916667
3,0.5816347599029541,8192,0.17766373977065086,0.1639568010965983,0.02280097648811837,1.5599772135416667
4,0.5822367668151855,8192,-0.001004705127949516,-0.01075391909883668,0.017572690189505618,1.61962890625
5,0.5699760913848877,8192,0.010200011155878505,0.001828011532779783,0.017127999803051353,1.6471354166666667
6,0.5636341571807861,8192,-0.016802249709144235,-0.02954906054461996,0.02665870962664485,1.6541341145833333
7,0.5561769008636475,8192,5.171533363560835e-05,-0.00935466040391475,0.02105468822022279,1.6497395833333333
8,0.5516102313995361,8192,-7.091020233929157e-05,-0.015498430700972676,0.03319988104825219,1.6267903645833333
9,0.548886775970459,8192,-0.005021311653157075,-0.026162128429859877,0.04512441965440909,1.6048177083333333
10,0.5473372936248779,8192,0.007561453540499012,-0.01654083746446607,0.05079740472137928,1.570068359375
11,0.5453732013702393,8192,0.005146981605018179,-0.02643412196387847,0.06558815327783425,1.5453287760416667
12,0.5478332042694092,8192,0.0037945743339757123,-0.03926602549230059,0.08786128585537274,1.4521484375
13,0.5442862510681152,8192,0.0070110401914765435,-0.03727810798833767,0.08962991212805112,1.4108072916666667
14,0.5422987937927246,8192,0.005261409639691313,-0.04164904790620009,0.09453342544535796,1.3697102864583333
15,0.5362310409545898,8192,0.0249683001699547,-0.025605223238623392,0.10172535416980584,1.3656412760416667
16,0.5339996814727783,8192,0.037489207461476326,-0.017696312395855784,0.11039574816823006,1.3295084635416667
17,0.534940242767334,8192,0.02081278432160616,-0.044533636731406055,0.1309932650377353,1.2939453125
18,0.5333938598632812,8192,0.016166316500554483,-0.06159883333990971,0.1552957904835542,1.276611328125
19,0.5624871253967285,8192,0.057892236237724624,-0.009717855932346234,0.1336099443336328,1.2391764322916667
20,0.5535433292388916,8192,0.04247688843558232,-0.03332085100313028,0.14965671425064406,1.212158203125
21,0.5316243171691895,8192,0.0535909328609705,-0.028089322537804644,0.161578839023908,1.2007649739583333
22,0.5288605690002441,8192,0.05006063636392355,-0.04127570800483227,0.1807111625870069,1.1758626302083333
23,0.5307300090789795,8192,0.04374063449601332,-0.05572816822677851,0.19668424129486084,1.1465657552083333
24,0.5310544967651367,8192,0.05143062133962909,-0.049814080353826284,0.20013648892442384,1.1448567708333333
25,0.5299110412597656,8192,0.05378596608837446,-0.048932955134660006,0.20255097871025404,1.1355794270833333
26,0.5303411483764648,8192,0.07430214714258909,-0.02457142008158068,0.19447922706604004,1.1239420572916667
27,0.5272326469421387,8192,0.06342530312637489,-0.045078592685361706,0.21377679829796156,1.0891927083333333
28,0.5672461986541748,8192,0.08392158274849255,-0.024762981571257114,0.2134701038400332,1.064453125
29,0.5266296863555908,8192,0.07606179142991702,-0.04049797154342135,0.22877521937092146,1.0481770833333333
30,0.5255622863769531,8192,0.09009174692134063,-0.025968215350682538,0.22767464319864908,1.0166422526041667
31,0.5256140232086182,8192,0.10098557050029437,-0.01726381081001212,0.23127557709813118,1.0033772786458333
32,0.5208206176757812,8192,0.07386258461823066,-0.05470885088046392,0.25207141041755676,0.994140625
33,0.5248494148254395,8192,0.15520320211847624,0.030962459665412705,0.24262154226501784,0.9805501302083334
34,0.5422754287719727,8192,0.06301023345440626,-0.06734832345197599,0.25468824803829193,0.9559733072916666
35,0.52069091796875,8192,0.0904078936825196,-0.04147484382459273,0.2581859479347865,0.966064453125
36,0.51727294921875,8192,0.07651327271014452,-0.06244355191787084,0.27274780720472336,0.9733479817708334
37,0.5183818340301514,8192,0.1334560333440701,0.0017554810619913042,0.25708304221431416,0.9535319010416666
