[22:09:53] Loaded init checkpoint from runs/il_tiny/il_final.pt
[22:10:24] upd 48/200 | 0.52s | steps=8192 | loss=0.1019 pi=-0.0545 v=0.3043 ent=0.8139 | frontier=on
[22:10:24] upd 49/200 | 0.51s | steps=8192 | loss=0.0961 pi=-0.0603 v=0.3046 ent=0.8121 | frontier=on
[22:10:25] upd 50/200 | 0.51s | steps=8192 | loss=0.1840 pi=0.0251 v=0.3092 ent=0.7918 | frontier=on
[22:10:25] upd 51/200 | 0.51s | steps=8192 | loss=0.1029 pi=-0.0598 v=0.3165 ent=0.7734 | frontier=on
[22:10:26] upd 52/200 | 0.51s | steps=8192 | loss=0.1817 pi=0.0239 v=0.3063 ent=0.7744 | frontier=on
[22:10:26] upd 53/200 | 0.51s | steps=8192 | loss=0.1240 pi=-0.0357 v=0.3101 ent=0.7639 | frontier=on
[22:10:27] upd 54/200 | 0.52s | steps=8192 | loss=0.1674 pi=0.0074 v=0.3110 ent=0.7530 | frontier=on
[22:10:27] upd 55/200 | 0.51s | steps=8192 | loss=0.1347 pi=-0.0250 v=0.3101 ent=0.7293 | frontier=on
[22:10:28] upd 56/200 | 0.51s | steps=8192 | loss=0.1130 pi=-0.0474 v=0.3112 ent=0.7318 | frontier=on
[22:10:28] upd 57/200 | 0.51s | steps=8192 | loss=0.1194 pi=-0.0426 v=0.3142 ent=0.7317 | frontier=on
[22:10:29] upd 58/200 | 0.52s | steps=8192 | loss=0.1247 pi=-0.0417 v=0.3234 ent=0.7071 | frontier=on
[22:10:30] upd 59/200 | 0.51s | steps=8192 | loss=0.1552 pi=-0.0119 v=0.3240 ent=0.7098 | frontier=on
[22:10:30] upd 60/200 | 0.51s | steps=8192 | loss=0.1748 pi=0.0094 v=0.3207 ent=0.7054 | frontier=on
[22:10:31] upd 61/200 | 0.51s | steps=8192 | loss=0.2281 pi=0.0636 v=0.3190 ent=0.6927 | frontier=on
[22:10:31] upd 62/200 | 0.52s | steps=8192 | loss=0.0879 pi=-0.0737 v=0.3129 ent=0.6948 | frontier=on
[22:10:32] upd 63/200 | 0.51s | steps=8192 | loss=0.1658 pi=-0.0034 v=0.3285 ent=0.6871 | frontier=on
[22:10:32] upd 64/200 | 0.51s | steps=8192 | loss=0.1298 pi=-0.0398 v=0.3296 ent=0.6947 | frontier=on
[22:10:33] upd 65/200 | 0.51s | steps=8192 | loss=0.1436 pi=-0.0192 v=0.3163 ent=0.6877 | frontier=on
[22:10:33] upd 66/200 | 0.51s | steps=8192 | loss=0.1726 pi=0.0094 v=0.3166 ent=0.6961 | frontier=on
[22:10:34] upd 67/200 | 0.51s | steps=8192 | loss=0.2125 pi=0.0486 v=0.3176 ent=0.6862 | frontier=on
[22:10:34] upd 68/200 | 0.51s | steps=8192 | loss=0.1285 pi=-0.0390 v=0.3255 ent=0.6783 | frontier=on
[22:10:35] upd 69/200 | 0.51s | steps=8192 | loss=0.1285 pi=-0.0345 v=0.3165 ent=0.6867 | frontier=on
[22:10:35] upd 70/200 | 0.51s | steps=8192 | loss=0.1284 pi=-0.0364 v=0.3200 ent=0.6713 | frontier=on
[22:10:36] upd 71/200 | 0.54s | steps=8192 | loss=0.1457 pi=-0.0232 v=0.3278 ent=0.6793 | frontier=on
[22:10:36] upd 72/200 | 0.52s | steps=8192 | loss=0.1546 pi=-0.0086 v=0.3168 ent=0.6762 | frontier=on
[22:10:37] upd 73/200 | 0.52s | steps=8192 | loss=0.1163 pi=-0.0482 v=0.3195 ent=0.6694 | frontier=on
[22:10:37] upd 74/200 | 0.52s | steps=8192 | loss=0.1461 pi=-0.0244 v=0.3315 ent=0.6538 | frontier=on
[22:10:38] upd 75/200 | 0.51s | steps=8192 | loss=0.1418 pi=-0.0256 v=0.3250 ent=0.6584 | frontier=on
[22:10:38] upd 76/200 | 0.51s | steps=8192 | loss=0.1814 pi=0.0154 v=0.3222 ent=0.6533 | frontier=on
[22:10:39] upd 77/200 | 0.52s | steps=8192 | loss=0.1510 pi=-0.0135 v=0.3186 ent=0.6476 | frontier=on
[22:10:39] upd 78/200 | 0.52s | steps=8192 | loss=0.1399 pi=-0.0286 v=0.3267 ent=0.6430 | frontier=on
[22:10:40] upd 79/200 | 0.51s | steps=8192 | loss=0.2073 pi=0.0392 v=0.3258 ent=0.6340 | frontier=on
[22:10:40] upd 80/200 | 0.51s | steps=8192 | loss=0.1374 pi=-0.0282 v=0.3205 ent=0.6405 | frontier=on
[22:10:41] upd 81/200 | 0.51s | steps=8192 | loss=0.1576 pi=-0.0121 v=0.3294 ent=0.6350 | frontier=on
[22:10:41] upd 82/200 | 0.51s | steps=8192 | loss=0.1411 pi=-0.0266 v=0.3249 ent=0.6325 | frontier=on
[22:10:42] upd 83/200 | 0.51s | steps=8192 | loss=0.1266 pi=-0.0387 v=0.3206 ent=0.6351 | frontier=on
